wave (um),depth,Rp/R*
0.9014,0.0292503378579,0.1710273014986204
0.91041,0.029249567245,0.1710250485893806
0.91952,0.0292535295375,0.17103663215083487
0.92871,0.0292865349589,0.1711330913613729
0.938,0.0292884483683,0.17113868168330618
0.94738,0.0292844863323,0.1711271057790086
0.95685,0.0292874321386,0.17113571263357044
0.96642,0.0292781439298,0.17110857351342743
0.97609,0.0292684501118,0.17108024465671073
0.98585,0.0292607689543,0.17105779419336611
0.9957,0.0292515046746,0.17103071266471412
1.00566,0.0292446274277,0.17101060618482117
1.01572,0.0292407807571,0.17099935893768725
1.02588,0.0292399127458,0.17099682086459972
1.03613,0.0292380902481,0.17099149174184078
1.0465,0.0292378378821,0.17099075379125037
1.05696,0.029238090354,0.1709914920515053
1.06753,0.0292395585525,0.1709957851892847
1.07821,0.0292406114294,0.17099886382488044
1.08899,0.0292462575952,0.17101537239441372
1.09988,0.0292717764251,0.17108996588081957
1.11088,0.0293057104122,0.1711891071657306
1.12198,0.0293137632196,0.17121262575990126
1.1332,0.0293172253136,0.1712227359715993
1.14454,0.0292952719657,0.17115861639339108
1.15598,0.0292950800879,0.17115805586620805
1.16754,0.0292903169787,0.1711441409417804
1.17922,0.0292734345642,0.17109481162267895
1.19101,0.0292579443513,0.1710495377114478
1.20292,0.0292471068664,0.17101785540229417
1.21495,0.0292441634873,0.1710092497126983
1.2271,0.0292416510835,0.1710019037423268
1.23937,0.029239706727,0.17099621845818697
1.25176,0.0292386396579,0.17099309827563217
1.26428,0.0292407769168,0.1709993477086974
1.27692,0.0292463288142,0.17101558061825828
1.28969,0.0292542383034,0.1710387041093331
1.30259,0.0292597164396,0.17105471767712224
1.31562,0.0292638838696,0.17106689881330053
1.32877,0.0292903301943,0.17114417955133618
1.34206,0.0293707792826,0.17137905146954222
1.35548,0.0294215647862,0.17152715466129553
1.36903,0.0294155668336,0.17150966979619545
1.38272,0.0293972264157,0.1714561938679965
1.39655,0.0294061661862,0.17148226201622138
1.41052,0.0294183577627,0.1715178059639873
1.42462,0.0294217783083,0.17152777707502653
1.43887,0.0294086050549,0.1714893730086503
1.45326,0.0293616277214,0.17135234962322518
1.46779,0.0293503674121,0.1713194892944174
1.48247,0.0293374936791,0.17128191287786343
1.49729,0.0293181101135,0.17122531972082866
1.51227,0.0292999243362,0.1711722066697745
1.52739,0.0292847660106,0.17112792294245846
1.54266,0.0292794243274,0.17111231494956755
1.55809,0.0292804218385,0.17111522970939788
1.57367,0.0292691846958,0.17108239154220403
1.58941,0.029265620642,0.17107197503390204
1.6053,0.0292634965944,0.17106576686876893
1.62135,0.02926066046,0.1710574770654589
1.63757,0.0292549657693,0.1710408307080505
1.65394,0.029250712478,0.1710283967006649
1.67048,0.0292583620262,0.17105075862503505
1.68719,0.0292556239245,0.17104275466824076
1.70406,0.0292591349637,0.17105301799062184
1.7211,0.029265806529,0.17107251833360027
1.73831,0.0292790925083,0.17111134535237574
1.75569,0.0292944482877,0.17115621019320332
1.77325,0.029320819517,0.17123323134543714
1.79098,0.0293353236451,0.17127557807550964
1.80889,0.0293619544789,0.17135330308721802
1.82698,0.0293693437842,0.17137486333823873
1.84525,0.0293791084446,0.1714033501557073
1.8637,0.0294053803198,0.17147997060823167
1.88234,0.0293786079259,0.17140189008847015
1.90116,0.0293491674022,0.17131598700121364
1.92018,0.0293581317611,0.17134214823300192
1.93938,0.0293888624629,0.17143180120065238
1.95877,0.0293862317277,0.17142412819582895
1.97836,0.0293599497058,0.1713474531640316
1.99814,0.0293489845858,0.171315453435468
2.01812,0.029326492239,0.1712497948582713
2.03831,0.0292989037749,0.17116922554857808
2.05869,0.029276831016,0.17110473697709247
2.07928,0.0292671712484,0.1710765070031534
2.10007,0.0292602896313,0.17105639313191426
2.12107,0.0292542959367,0.17103887258953737
2.14228,0.0292515581632,0.17103086903597256
2.1637,0.0292532631957,0.171035853538666
2.18534,0.0292581980434,0.1710502792847764
2.20719,0.0292739921456,0.17109644106643482
2.22927,0.0292740899148,0.17109672677991242
2.25156,0.0292827878317,0.17112214301983247
2.27407,0.0292882176134,0.17113800750680722
2.29681,0.0293050378977,0.1711871429100328
2.31978,0.0293131498577,0.17121083452194258
2.34298,0.029323864089,0.17124212124649707
2.36641,0.0293251820403,0.17124596941329745
2.39007,0.0293281149465,0.1712545326305263
2.41397,0.0293281855596,0.17125473879458053
2.43811,0.0293454268038,0.1713050694048486
2.4625,0.0293635984035,0.17135809990630732
2.48712,0.0293919111162,0.17144069270800325
2.51199,0.0294225713022,0.17153008862062655
2.53711,0.0294509807539,0.1716128805011442
2.56248,0.0294693151576,0.17166629010262904
2.58811,0.0294792118521,0.1716951130699415
2.61399,0.0294527449483,0.1716180204649267
2.64013,0.0294481680294,0.17160468533638584
2.66653,0.0295527005782,0.17190898923034828
2.6932,0.0295980442488,0.17204082146048943
2.72013,0.0295725819114,0.17196680467869374
2.74733,0.0295268921425,0.1718339085934438
2.7748,0.0295416073345,0.17187672132810772
2.80255,0.0295386444542,0.17186810191015667
2.83058,0.0295427970791,0.17188018233379904
2.85888,0.0295190828134,0.1718111836097988
2.88747,0.0294757598626,0.17168506010308526
2.91634,0.029470866767,0.1716708093037369
2.94551,0.0294301629385,0.17155221636137494
2.97496,0.0294196514461,0.1715215772026948
3.00471,0.0293988074675,0.171460804464169
