wave (um),Rp/R*
3.0,2.541672522832161
3.00120013275,2.5415991470824033
3.00240074561,2.541525780748643
3.00360183877,2.541452423823826
3.00480341242,2.541379076306799
3.00600546676,2.54130573818854
3.00720800196,2.541232409465927
3.00841101824,2.5411590901319028
3.00961451577,2.5410857801813775
3.01081849476,2.54101247960926
3.01202295539,2.5409391884104586
3.01322789786,2.540865906579881
3.01443332236,2.540792634110466
3.01563922909,2.540719371001056
3.01684561823,2.54064611724262
3.01805248997,2.540572872830063
3.01925984452,2.5404996377582894
3.02046768207,2.5404264120241704
3.0216760028,2.54035319562064
3.02288480692,2.5402799885426015
3.02409409461,2.540206790784955
3.02530386607,2.540133602342601
3.02651412149,2.54006042321044
3.02772486107,2.539987253381402
3.028936085,2.5399140928523547
3.03014779347,2.5398409416162266
3.03135998667,2.539767799669883
3.03257266481,2.5396946670062523
3.03378582807,2.5396215436221987
3.03499947666,2.5395484295106483
3.03621361075,2.539475324666495
3.03742823055,2.5394022290846325
3.03864333626,2.5393291427599536
3.03985892806,2.53925606568735
3.04107500615,2.5391829978617135
3.04229157072,2.5391099392779353
3.04350862198,2.5390368899309044
3.04472616011,2.5389638498135416
3.04594418531,2.5388908189246737
3.04716269777,2.5388177972532806
3.04838169769,2.538744784800158
3.04960118527,2.538671781556253
3.05082116069,2.5385987875184215
3.05204162416,2.5385258026795787
3.05326257587,2.538452827036579
3.05448401601,2.538379860582336
3.05570594479,2.538306903311733
3.05692836238,2.538233955221622
3.058151269,2.5381610163068853
3.05937466484,2.5380880865584627
3.06059855009,2.538015165975176
3.06182292495,2.5379422545519037
3.06304778961,2.537869352279585
3.06427314427,2.537796459157038
3.06549898913,2.5377235751771705
3.06672532438,2.537650700336829
3.06795215021,2.53757783462695
3.06917946684,2.5375049780463486
3.07040727444,2.5374321305879297
3.07163557322,2.5373592922485377
3.07286436338,2.5372864630210756
3.0740936451,2.537213642900416
3.07532341859,2.5371408318814312
3.07655368405,2.537068029958992
3.07778444167,2.53699523712994
3.07901569164,2.536922453387174
3.08024743417,2.5368496787275356
3.08147966945,2.5367769131419498
3.08271239768,2.5367041566311985
3.08394561905,2.5366314091842352
3.08517933377,2.5365586707998693
3.08641354203,2.536485941472966
3.08764824403,2.536413221194449
3.08888343996,2.5363405099650955
3.09011913002,2.536267807775827
3.09135531442,2.536195114621507
