wave (um),depth,Rp/R*
1.57153,0.022271,0.1492347144601416
1.58724,0.022229,0.14909393012460298
1.60312,0.022189,0.1489597261007149
1.61915,0.022158,0.14885563476066332
1.63534,0.022141,0.14879852149803102
1.65169,0.022131,0.14876491521860927
1.66821,0.022125,0.14874474780643515
1.68489,0.022113,0.14870440477672475
1.70174,0.022149,0.14882540105774955
1.71876,0.02223,0.14909728367747013
1.73594,0.022282,0.14927156460625715
1.7533,0.022312,0.1493720187987027
1.77084,0.022375,0.1495827530165159
1.78854,0.022413,0.14970971912337555
1.80643,0.022449,0.14982990355733397
1.82449,0.022464,0.14987995196156156
1.84274,0.022492,0.14997333096254148
1.86117,0.022534,0.15011329055083697
1.87978,0.022496,0.1499866660740214
1.89858,0.022462,0.14987327980664197
1.91756,0.022455,0.14984992492490612
1.93674,0.02247,0.1498999666444259
1.9561,0.022473,0.14990997298378783
1.97567,0.022477,0.14992331373072035
1.99542,0.022476,0.14991997865528128
2.01538,0.022455,0.14984992492490612
2.03553,0.022429,0.1497631463344704
2.05589,0.022382,0.1496061496062244
2.07644,0.022339,0.14946236984605857
2.09721,0.022303,0.14934188963582856
2.11818,0.022263,0.1492079086375786
2.13936,0.022231,0.14910063715490957
2.16076,0.022214,0.14904361777681055
2.18236,0.022209,0.14902684321960255
2.20419,0.022207,0.14902013286801216
2.22623,0.022212,0.14903690818049065
2.24849,0.022208,0.14902348808157725
2.27098,0.022215,0.14904697246170417
2.29369,0.022239,0.1491274622596388
2.31662,0.022267,0.14922131215077825
2.33979,0.02227,0.14923136399564269
2.36319,0.022294,0.1493117543932828
2.38682,0.022306,0.1493519333654573
2.41069,0.022342,0.14947240548007515
2.43479,0.022401,0.14966963619919707
2.45914,0.022446,0.14981989187020528
2.48373,0.022501,0.15000333329629711
2.5,0.022541,0.15013660446406799
2.525,0.022573,0.15024313628249378
2.55025,0.022597,0.15032298560100515
2.57575,0.022605,0.15034959261667455
2.60151,0.022584,0.1502797391533536
2.62753,0.022587,0.1502897202073382
2.6538,0.02258,0.15026643005009468
2.68034,0.022609,0.15036289435894748
2.70714,0.022637,0.15045597362683877
2.73421,0.022633,0.15044268011438774
2.76156,0.022634,0.1504460036026215
2.78917,0.022637,0.15045597362683877
2.81706,0.022658,0.1505257453062432
2.84523,0.022646,0.15048587973627292
2.87369,0.022634,0.1504460036026215
2.90242,0.022656,0.15051910177781422
2.93145,0.022641,0.15046926596484747
2.96076,0.022649,0.15049584711878264
2.99037,0.022612,0.15037286989347512
3.02027,0.022617,0.1503894943139314
3.05048,0.022582,0.1502730847490661
3.08098,0.022563,0.15020985320544056
3.11179,0.022536,0.15011995203836165
3.14291,0.02253,0.15009996668887038
3.17434,0.022491,0.14996999699939986
3.20608,0.022491,0.14996999699939986
3.23814,0.022463,0.14987661592123036
3.27052,0.022419,0.14972975656161336
3.30323,0.02242,0.14973309587395833
3.33626,0.022414,0.14971305888265057
3.36962,0.022393,0.14964290828502366
3.40332,0.022379,0.14959612294441324
3.43735,0.022363,0.14954263606075693
3.47173,0.02235,0.14949916387726053
3.50644,0.022334,0.1494456422917711
3.54151,0.022321,0.14940214188558343
3.57692,0.022295,0.1493151030539108
3.61269,0.022281,0.14926821496889417
3.64882,0.022259,0.14919450392021819
3.68531,0.02224,0.149130815058458
3.72216,0.022214,0.14904361777681055
3.75938,0.022204,0.14901006677402706
3.79697,0.022182,0.14893622796351463
3.83494,0.02218,0.1489295135290517
3.87329,0.022157,0.14885227576359053
3.91203,0.022155,0.14884555754203752
3.95115,0.02216,0.14886235252742716
3.99066,0.022181,0.14893287078412207
4.03057,0.022195,0.14897986441126868
4.07087,0.022241,0.14913416778190033
4.11158,0.022265,0.14921461054467824
4.1527,0.02229,0.14929835899968893
4.19422,0.02233,0.1494322589001451
4.23616,0.02243,0.14976648490233052
4.27853,0.022534,0.15011329055083697
4.32131,0.022597,0.15032298560100515
4.36452,0.022611,0.15036954478883016
4.40817,0.0226,0.15033296378372907
4.45225,0.022582,0.1502730847490661
4.49677,0.022561,0.15020319570501822
4.54174,0.022537,0.15012328267127656
4.58716,0.022515,0.1500499916694433
4.63303,0.022492,0.14997333096254148
4.67936,0.022466,0.1498866238194723
4.72615,0.022477,0.14992331373072035
4.77342,0.022492,0.14997333096254148
4.82115,0.022478,0.1499266487319716
4.86936,0.022478,0.1499266487319716
4.91806,0.022477,0.14992331373072035
4.96724,0.022481,0.14993665329064806
5.0,0.022478,0.1499266487319716
5.125,0.022482,0.1499399879951976
5.24419,0.022492,0.14997333096254148
5.35854,0.022509,0.15002999700059985
5.46878,0.022524,0.15007997867803685
5.57549,0.022543,0.15014326491721167
5.6791,0.022531,0.15010329776523898
5.77998,0.022528,0.15009330431434975
5.87841,0.022531,0.15010329776523898
5.97465,0.022506,0.15001999866684443
6.0689,0.022495,0.14998333240730452
6.16134,0.02245,0.14983324063771697
6.25211,0.022432,0.14977316181479244
6.34137,0.022428,0.14975980769218422
6.42921,0.02248,0.1499333185119305
6.51573,0.022571,0.15023648025696024
6.60104,0.022647,0.15048920227046192
6.68521,0.022608,0.1503595690337
6.76832,0.02259,0.15029970059850417
6.85042,0.022611,0.15036954478883016
6.93157,0.022565,0.15021651041080672
7.01184,0.022546,0.15015325504297267
7.09126,0.022569,0.1502298239365273
7.16989,0.022535,0.1501166213315501
7.24776,0.022532,0.15010662876768635
7.3249,0.022537,0.15012328267127656
7.40137,0.022521,0.15006998367428445
7.47718,0.022523,0.15007664708408167
7.55236,0.022518,0.1500599880047976
7.62788,0.022546,0.15015325504297267
7.70416,0.022512,0.15003999466808843
7.7812,0.022525,0.15008331019803633
7.85901,0.022517,0.15005665596700468
7.9376,0.022526,0.15008664164408503
8.01698,0.022514,0.15004665940966497
8.09715,0.022508,0.1500266642967176
8.17812,0.022517,0.15005665596700468
